vllm ({'pretrained': 'models/Qwen3.6-27B-MXFP4', 'max_model_len': 4096, 'language_model_only': True, 'gpu_memory_utilization': 0.85}), gen_kwargs: ({}), limit: None, num_fewshot: 5, batch_size: 16
|                 Tasks                 |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|------|---|-----:|---|-----:|
|mmlu                                   |      2|none  |      |acc   |   |0.8483|±  |0.0029|
| - humanities                          |      2|none  |     5|acc   |↑  |0.8047|±  |0.0056|
|  - formal_logic                       |      1|none  |     5|acc   |↑  |0.7460|±  |0.0389|
|  - high_school_european_history       |      1|none  |     5|acc   |↑  |0.9030|±  |0.0231|
|  - high_school_us_history             |      1|none  |     5|acc   |↑  |0.8971|±  |0.0213|
|  - high_school_world_history          |      1|none  |     5|acc   |↑  |0.9367|±  |0.0158|
|  - international_law                  |      1|none  |     5|acc   |↑  |0.9256|±  |0.0240|
|  - jurisprudence                      |      1|none  |     5|acc   |↑  |0.8981|±  |0.0292|
|  - logical_fallacies                  |      1|none  |     5|acc   |↑  |0.9264|±  |0.0205|
|  - moral_disputes                     |      1|none  |     5|acc   |↑  |0.8497|±  |0.0192|
|  - moral_scenarios                    |      1|none  |     5|acc   |↑  |0.7844|±  |0.0138|
|  - philosophy                         |      1|none  |     5|acc   |↑  |0.8842|±  |0.0182|
|  - prehistory                         |      1|none  |     5|acc   |↑  |0.9136|±  |0.0156|
|  - professional_law                   |      1|none  |     5|acc   |↑  |0.6864|±  |0.0118|
|  - world_religions                    |      1|none  |     5|acc   |↑  |0.9240|±  |0.0203|
| - other                               |      2|none  |     5|acc   |↑  |0.8713|±  |0.0057|
|  - business_ethics                    |      1|none  |     5|acc   |↑  |0.8400|±  |0.0368|
|  - clinical_knowledge                 |      1|none  |     5|acc   |↑  |0.9208|±  |0.0166|
|  - college_medicine                   |      1|none  |     5|acc   |↑  |0.8555|±  |0.0268|
|  - global_facts                       |      1|none  |     5|acc   |↑  |0.6400|±  |0.0482|
|  - human_aging                        |      1|none  |     5|acc   |↑  |0.8520|±  |0.0238|
|  - management                         |      1|none  |     5|acc   |↑  |0.8835|±  |0.0318|
|  - marketing                          |      1|none  |     5|acc   |↑  |0.9487|±  |0.0145|
|  - medical_genetics                   |      1|none  |     5|acc   |↑  |0.9500|±  |0.0219|
|  - miscellaneous                      |      1|none  |     5|acc   |↑  |0.9336|±  |0.0089|
|  - nutrition                          |      1|none  |     5|acc   |↑  |0.9183|±  |0.0157|
|  - professional_accounting            |      1|none  |     5|acc   |↑  |0.7340|±  |0.0264|
