vllm ({'pretrained': 'models/Qwen3.6-27B-FP8-KVFP8-ATFP8', 'max_model_len': 4096, 'language_model_only': True, 'gpu_memory_utilization': 0.85}), gen_kwargs: ({}), limit: None, num_fewshot: 5, batch_size: 16
|                 Tasks                 |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|------|---|-----:|---|-----:|
|mmlu                                   |      2|none  |      |acc   |   |0.8674|±  |0.0028|
| - humanities                          |      2|none  |     5|acc   |↑  |0.8223|±  |0.0055|
|  - formal_logic                       |      1|none  |     5|acc   |↑  |0.7698|±  |0.0376|
|  - high_school_european_history       |      1|none  |     5|acc   |↑  |0.8909|±  |0.0243|
|  - high_school_us_history             |      1|none  |     5|acc   |↑  |0.8824|±  |0.0226|
|  - high_school_world_history          |      1|none  |     5|acc   |↑  |0.9283|±  |0.0168|
|  - international_law                  |      1|none  |     5|acc   |↑  |0.9256|±  |0.0240|
|  - jurisprudence                      |      1|none  |     5|acc   |↑  |0.9167|±  |0.0267|
|  - logical_fallacies                  |      1|none  |     5|acc   |↑  |0.9264|±  |0.0205|
|  - moral_disputes                     |      1|none  |     5|acc   |↑  |0.8613|±  |0.0186|
|  - moral_scenarios                    |      1|none  |     5|acc   |↑  |0.8168|±  |0.0129|
|  - philosophy                         |      1|none  |     5|acc   |↑  |0.8907|±  |0.0177|
|  - prehistory                         |      1|none  |     5|acc   |↑  |0.9228|±  |0.0148|
|  - professional_law                   |      1|none  |     5|acc   |↑  |0.7190|±  |0.0115|
|  - world_religions                    |      1|none  |     5|acc   |↑  |0.9064|±  |0.0223|
| - other                               |      2|none  |     5|acc   |↑  |0.8867|±  |0.0054|
|  - business_ethics                    |      1|none  |     5|acc   |↑  |0.8300|±  |0.0378|
|  - clinical_knowledge                 |      1|none  |     5|acc   |↑  |0.9283|±  |0.0159|
|  - college_medicine                   |      1|none  |     5|acc   |↑  |0.8844|±  |0.0244|
|  - global_facts                       |      1|none  |     5|acc   |↑  |0.6300|±  |0.0485|
|  - human_aging                        |      1|none  |     5|acc   |↑  |0.8520|±  |0.0238|
|  - management                         |      1|none  |     5|acc   |↑  |0.8932|±  |0.0306|
|  - marketing                          |      1|none  |     5|acc   |↑  |0.9487|±  |0.0145|
|  - medical_genetics                   |      1|none  |     5|acc   |↑  |0.9800|±  |0.0141|
|  - miscellaneous                      |      1|none  |     5|acc   |↑  |0.9489|±  |0.0079|
|  - nutrition                          |      1|none  |     5|acc   |↑  |0.9183|±  |0.0157|
|  - professional_accounting            |      1|none  |     5|acc   |↑  |0.8085|±  |0.0235|
