vllm ({'pretrained': 'Qwen/Qwen3.6-27B', 'max_model_len': 4096, 'language_model_only': True, 'gpu_memory_utilization': 0.85}), gen_kwargs: ({}), limit: None, num_fewshot: None, batch_size: 8
|                Tasks                 |Version|Filter|n-shot|  Metric   |   |Value |   |Stderr|
|--------------------------------------|------:|------|-----:|-----------|---|-----:|---|-----:|
|hendrycks_math                        |      1|none  |     0|exact_match|↑  |0.1060|±  |0.0043|
| - hendrycks_math_algebra             |      1|none  |     0|exact_match|↑  |0.1373|±  |0.0100|
| - hendrycks_math_counting_and_prob   |      1|none  |     0|exact_match|↑  |0.0970|±  |0.0136|
| - hendrycks_math_geometry            |      1|none  |     0|exact_match|↑  |0.0960|±  |0.0135|
| - hendrycks_math_intermediate_algebra|      1|none  |     0|exact_match|↑  |0.0465|±  |0.0070|
| - hendrycks_math_num_theory          |      1|none  |     0|exact_match|↑  |0.0778|±  |0.0115|
| - hendrycks_math_prealgebra          |      1|none  |     0|exact_match|↑  |0.1963|±  |0.0135|
| - hendrycks_math_precalc             |      1|none  |     0|exact_match|↑  |0.0366|±  |0.0080|

|    Groups    |Version|Filter|n-shot|  Metric   |   |Value|   |Stderr|
|--------------|------:|------|-----:|-----------|---|----:|---|-----:|
|hendrycks_math|      1|none  |     0|exact_match|↑  |0.106|±  |0.0043|

