vllm ({'pretrained': 'models/Qwen3.6-27B-FP8', 'max_model_len': 4096, 'language_model_only': True, 'gpu_memory_utilization': 0.85}), gen_kwargs: ({}), limit: None, num_fewshot: 5, batch_size: 16
|                 Tasks                 |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|------|---|-----:|---|-----:|
|mmlu                                   |      2|none  |      |acc   |   |0.8686|±  |0.0028|
| - humanities                          |      2|none  |     5|acc   |↑  |0.8257|±  |0.0054|
|  - formal_logic                       |      1|none  |     5|acc   |↑  |0.7619|±  |0.0381|
|  - high_school_european_history       |      1|none  |     5|acc   |↑  |0.8970|±  |0.0237|
|  - high_school_us_history             |      1|none  |     5|acc   |↑  |0.9020|±  |0.0209|
|  - high_school_world_history          |      1|none  |     5|acc   |↑  |0.9198|±  |0.0177|
|  - international_law                  |      1|none  |     5|acc   |↑  |0.9256|±  |0.0240|
|  - jurisprudence                      |      1|none  |     5|acc   |↑  |0.9167|±  |0.0267|
|  - logical_fallacies                  |      1|none  |     5|acc   |↑  |0.9325|±  |0.0197|
|  - moral_disputes                     |      1|none  |     5|acc   |↑  |0.8671|±  |0.0183|
|  - moral_scenarios                    |      1|none  |     5|acc   |↑  |0.8190|±  |0.0129|
|  - philosophy                         |      1|none  |     5|acc   |↑  |0.8842|±  |0.0182|
|  - prehistory                         |      1|none  |     5|acc   |↑  |0.9198|±  |0.0151|
|  - professional_law                   |      1|none  |     5|acc   |↑  |0.7256|±  |0.0114|
|  - world_religions                    |      1|none  |     5|acc   |↑  |0.9181|±  |0.0210|
| - other                               |      2|none  |     5|acc   |↑  |0.8861|±  |0.0054|
|  - business_ethics                    |      1|none  |     5|acc   |↑  |0.8400|±  |0.0368|
|  - clinical_knowledge                 |      1|none  |     5|acc   |↑  |0.9283|±  |0.0159|
|  - college_medicine                   |      1|none  |     5|acc   |↑  |0.8844|±  |0.0244|
|  - global_facts                       |      1|none  |     5|acc   |↑  |0.6000|±  |0.0492|
|  - human_aging                        |      1|none  |     5|acc   |↑  |0.8520|±  |0.0238|
|  - management                         |      1|none  |     5|acc   |↑  |0.8738|±  |0.0329|
|  - marketing                          |      1|none  |     5|acc   |↑  |0.9573|±  |0.0133|
|  - medical_genetics                   |      1|none  |     5|acc   |↑  |0.9700|±  |0.0171|
|  - miscellaneous                      |      1|none  |     5|acc   |↑  |0.9489|±  |0.0079|
|  - nutrition                          |      1|none  |     5|acc   |↑  |0.9183|±  |0.0157|
|  - professional_accounting            |      1|none  |     5|acc   |↑  |0.8156|±  |0.0231|
|  - professional_medicine              |      1|none  |     5|acc   |↑  |0.9485|±  |0.0134|
|  - virology                           |      1|none  |     5|acc   |↑  |0.5843|±  |0.0384|
| - social sciences                     |      2|none  |     5|acc   |↑  |0.9194|±  |0.0048|
|  - econometrics                       |      1|none  |     5|acc   |↑  |0.8509|±  |0.0335|
|  - high_school_geography              |      1|none  |     5|acc   |↑  |0.9545|±  |0.0148|
|  - high_school_government_and_politics|      1|none  |     5|acc   |↑  |0.9741|±  |0.0115|
|  - high_school_macroeconomics         |      1|none  |     5|acc   |↑  |0.9282|±  |0.0131|
|  - high_school_microeconomics         |      1|none  |     5|acc   |↑  |0.9538|±  |0.0136|
|  - high_school_psychology             |      1|none  |     5|acc   |↑  |0.9505|±  |0.0093|
|  - human_sexuality                    |      1|none  |     5|acc   |↑  |0.9084|±  |0.0253|
|  - professional_psychology            |      1|none  |     5|acc   |↑  |0.9052|±  |0.0118|
|  - public_relations                   |      1|none  |     5|acc   |↑  |0.7455|±  |0.0417|
|  - security_studies                   |      1|none  |     5|acc   |↑  |0.8612|±  |0.0221|
|  - sociology                          |      1|none  |     5|acc   |↑  |0.9353|±  |0.0174|
|  - us_foreign_policy                  |      1|none  |     5|acc   |↑  |0.9400|±  |0.0239|
| - stem                                |      2|none  |     5|acc   |↑  |0.8658|±  |0.0059|
|  - abstract_algebra                   |      1|none  |     5|acc   |↑  |0.7900|±  |0.0409|
|  - anatomy                            |      1|none  |     5|acc   |↑  |0.8667|±  |0.0294|
|  - astronomy                          |      1|none  |     5|acc   |↑  |0.9539|±  |0.0171|
|  - college_biology                    |      1|none  |     5|acc   |↑  |0.9792|±  |0.0119|
|  - college_chemistry                  |      1|none  |     5|acc   |↑  |0.6800|±  |0.0469|
|  - college_computer_science           |      1|none  |     5|acc   |↑  |0.8300|±  |0.0378|
|  - college_mathematics                |      1|none  |     5|acc   |↑  |0.7600|±  |0.0429|
|  - college_physics                    |      1|none  |     5|acc   |↑  |0.8137|±  |0.0387|
|  - computer_security                  |      1|none  |     5|acc   |↑  |0.8800|±  |0.0327|
|  - conceptual_physics                 |      1|none  |     5|acc   |↑  |0.9489|±  |0.0144|
|  - electrical_engineering             |      1|none  |     5|acc   |↑  |0.8552|±  |0.0293|
|  - elementary_mathematics             |      1|none  |     5|acc   |↑  |0.8942|±  |0.0158|
|  - high_school_biology                |      1|none  |     5|acc   |↑  |0.9548|±  |0.0118|
|  - high_school_chemistry              |      1|none  |     5|acc   |↑  |0.8030|±  |0.0280|
|  - high_school_computer_science       |      1|none  |     5|acc   |↑  |0.9500|±  |0.0219|
|  - high_school_mathematics            |      1|none  |     5|acc   |↑  |0.7333|±  |0.0270|
|  - high_school_physics                |      1|none  |     5|acc   |↑  |0.8477|±  |0.0293|
|  - high_school_statistics             |      1|none  |     5|acc   |↑  |0.8981|±  |0.0206|
|  - machine_learning                   |      1|none  |     5|acc   |↑  |0.8125|±  |0.0370|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|-----:|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |   |0.8686|±  |0.0028|
| - humanities     |      2|none  |     5|acc   |↑  |0.8257|±  |0.0054|
| - other          |      2|none  |     5|acc   |↑  |0.8861|±  |0.0054|
| - social sciences|      2|none  |     5|acc   |↑  |0.9194|±  |0.0048|
| - stem           |      2|none  |     5|acc   |↑  |0.8658|±  |0.0059|

vllm ({'pretrained': 'models/Qwen3.6-27B-FP8-KVFP8', 'max_model_len': 4096, 'language_model_only': True, 'gpu_memory_utilization': 0.85}), gen_kwargs: ({}), limit: None, num_fewshot: 5, batch_size: 16
|                 Tasks                 |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|------|---|-----:|---|-----:|
|mmlu                                   |      2|none  |      |acc   |   |0.8677|±  |0.0028|
| - humanities                          |      2|none  |     5|acc   |↑  |0.8227|±  |0.0055|
|  - formal_logic                       |      1|none  |     5|acc   |↑  |0.7857|±  |0.0367|
|  - high_school_european_history       |      1|none  |     5|acc   |↑  |0.8909|±  |0.0243|
|  - high_school_us_history             |      1|none  |     5|acc   |↑  |0.8775|±  |0.0230|
|  - high_school_world_history          |      1|none  |     5|acc   |↑  |0.9030|±  |0.0193|
|  - international_law                  |      1|none  |     5|acc   |↑  |0.9256|±  |0.0240|
|  - jurisprudence                      |      1|none  |     5|acc   |↑  |0.9167|±  |0.0267|
|  - logical_fallacies                  |      1|none  |     5|acc   |↑  |0.9387|±  |0.0189|
|  - moral_disputes                     |      1|none  |     5|acc   |↑  |0.8642|±  |0.0184|
|  - moral_scenarios                    |      1|none  |     5|acc   |↑  |0.8190|±  |0.0129|
|  - philosophy                         |      1|none  |     5|acc   |↑  |0.8778|±  |0.0186|
|  - prehistory                         |      1|none  |     5|acc   |↑  |0.9228|±  |0.0148|
|  - professional_law                   |      1|none  |     5|acc   |↑  |0.7216|±  |0.0114|
|  - world_religions                    |      1|none  |     5|acc   |↑  |0.9181|±  |0.0210|
| - other                               |      2|none  |     5|acc   |↑  |0.8854|±  |0.0054|
|  - business_ethics                    |      1|none  |     5|acc   |↑  |0.8400|±  |0.0368|
|  - clinical_knowledge                 |      1|none  |     5|acc   |↑  |0.9170|±  |0.0170|
|  - college_medicine                   |      1|none  |     5|acc   |↑  |0.8844|±  |0.0244|
|  - global_facts                       |      1|none  |     5|acc   |↑  |0.6200|±  |0.0488|
|  - human_aging                        |      1|none  |     5|acc   |↑  |0.8430|±  |0.0244|
|  - management                         |      1|none  |     5|acc   |↑  |0.8932|±  |0.0306|
|  - marketing                          |      1|none  |     5|acc   |↑  |0.9573|±  |0.0133|
|  - medical_genetics                   |      1|none  |     5|acc   |↑  |0.9600|±  |0.0197|
|  - miscellaneous                      |      1|none  |     5|acc   |↑  |0.9527|±  |0.0076|
|  - nutrition                          |      1|none  |     5|acc   |↑  |0.9216|±  |0.0154|
|  - professional_accounting            |      1|none  |     5|acc   |↑  |0.8085|±  |0.0235|
|  - professional_medicine              |      1|none  |     5|acc   |↑  |0.9485|±  |0.0134|
|  - virology                           |      1|none  |     5|acc   |↑  |0.5723|±  |0.0385|
| - social sciences                     |      2|none  |     5|acc   |↑  |0.9204|±  |0.0048|
|  - econometrics                       |      1|none  |     5|acc   |↑  |0.8421|±  |0.0343|
|  - high_school_geography              |      1|none  |     5|acc   |↑  |0.9444|±  |0.0163|
|  - high_school_government_and_politics|      1|none  |     5|acc   |↑  |0.9741|±  |0.0115|
|  - high_school_macroeconomics         |      1|none  |     5|acc   |↑  |0.9308|±  |0.0129|
|  - high_school_microeconomics         |      1|none  |     5|acc   |↑  |0.9580|±  |0.0130|
|  - high_school_psychology             |      1|none  |     5|acc   |↑  |0.9541|±  |0.0090|
|  - human_sexuality                    |      1|none  |     5|acc   |↑  |0.9084|±  |0.0253|
